#,Column name,Short description,Format,Long description,Values
1,fico,Credit Score,Numeric,"CREDIT SCORE - A number, prepared by third parties, summarizing the borrower’s creditworthiness, which may be indicative of the likelihood that the borrower will timely repay future obligations. Generally, the credit score disclosed is the score known at the time of acquisition and is the score used to originate the mortgage.","300 - 850
9999 = Not Available,
if Credit Score is < 300 or > 850."
2,dt_first_pi,First Payment Date,Date,FIRST PAYMENT DATE - The date of the first scheduled mortgage payment due under the terms of the mortgage note.,YYYYMM
3,flag_fthb,First Time Homebuyer Flag,Alpha,"FIRST TIME HOMEBUYER FLAG - Indicates whether the Borrower, or one of a group of Borrowers, is an individual who (1) is purchasing the mortgaged property, (2) will reside in the mortgaged property as a primary residence and (3) had no ownership interest (sole or joint) in a residential property during the three-year period preceding the date of the purchase of the mortgaged property. With certain limited exceptions, a displaced homemaker or single parent may also be considered a First-Time Homebuyer if the individual had no ownership interest in a residential property during the preceding three-year period other than an ownership interest in the marital residence with a spouse.","Y = Yes
N = No
9 = Not Available or
Not Applicable"
4,dt_matr,Maturity Date,Date,MATURITY DATE - The month in which the final monthly payment on the mortgage is scheduled to be made as stated on the original mortgage note.,YYYYMM
5,cd_msa,Metropolitan Statistical Area (MSA) Or Metropolitan Division,Numeric,"METROPOLITAN STATISTICAL AREA (MSA) OR
METROPOLITAN DIVISION - This disclosure will be based on the designation of the Metropolitan Statistical Area or Metropolitan Division as of the date of issuance. Metropolitan Statistical Areas (MSAs) are defined by the United States Office of Management and Budget (OMB) and have at least one urbanized area with a population of 50,000 or more inhabitants. An MSA containing a single core with a population of 2.5 million or more may be divided into smaller groups of counties that OMB refers to as Metropolitan Divisions. If an MSA applies to a mortgaged property, the applicable five-digit value is disclosed; however, if the mortgaged property also falls within a Metropolitan Division classification, the applicable five-digit value for the Metropolitan Division takes precedence and is disclosed instead. This disclosure will not be updated to reflect any subsequent changes in designations of MSAs, Metropolitan Divisions or other classifications.
Null indicates that the area in which the mortgaged property is located is (a) neither an MSA nor a Metropolitan Division, or (b) unknown.","Metropolitan Division or MSA Code.
Space (5) = Indicates that the area in which the mortgaged property is located is
a) neither an MSA nor a Metropolitan Division, or b) unknown."
6,mi_pct,Mortgage Insurance Percentage (MI %),Numeric,"MORTGAGE INSURANCE PERCENTAGE (MI %) - The percentage
of loss coverage on the loan, at the time of Freddie Mac's purchase of the mortgage loan that a mortgage insurer is providing to cover losses incurred as a result of a default on the loan.  Only primary mortgage insurance that is purchased by the Borrower, lender or Freddie Mac is disclosed. Mortgage insurance that constitutes ""credit enhancement"" that is not required by Freddie Mac's Charter is not disclosed.
Amounts of mortgage insurance reported by Sellers that are less than 1% or greater than 55% will be disclosed as ""Not Available,"" which will be indicated 999.  No MI will be indicated by three zeros.","1% - 55%
000 = No MI
999 = Not Available"
7,cnt_units,Number of Units,Numeric,"NUMBER OF UNITS - Denotes whether the mortgage is a one-, two-, three-, or four-unit property.","1 = one-unit
2 = two-unit
3 = three-unit
4 = four-unit
99 = Not Available"
8,occpy_sts,Occupancy Status,Alpha,"OCCUPANCY STATUS - Denotes whether the mortgage type is owner occupied, second home, or investment property.","P = Primary Residence
I = Investment Property
S = Second Home
9 = Not Available"
9,cltv,Original Combined Loan-to-Value (CLTV),Numeric,"ORIGINAL COMBINED LOAN-TO-VALUE (CLTV) - In the case of a
purchase mortgage loan, the ratio is obtained by dividing the original mortgage loan amount on the note date plus any secondary mortgage loan amount disclosed by the Seller by the lesser of the mortgaged property's appraised value on the note date or its purchase price.  In the case of a refinance mortgage loan, the ratio is obtained by dividing the original mortgage loan amount on the note date plus any secondary mortgage loan amount disclosed by the Seller by the mortgaged property's appraised value on the note date.  If the secondary financing amount disclosed by the Seller includes a home equity line of credit, then the CLTV calculation reflects the disbursed amount at closing of the first lien mortgage loan, not the maximum loan amount available under the home equity line of credit.  In the case of a seasoned mortgage loan, if the Seller cannot warrant that the value of the mortgaged property has not declined since the note date, Freddie Mac requires that the Seller must provide a new appraisal value, which is used in the CLTV calculation.  In certain cases, where the Seller delivered a loan to Freddie Mac with a special code indicating additional secondary mortgage loan amounts, those amounts may have been included in the CLTV calculation.
If the CLTV is   LTV, set the CLTV to 'Not Available.'
This disclosure is subject to the widely varying standards originators use to verify Borrowers' secondary mortgage loan amounts and will not be updated.","201801 and prior:
   6% - 200%
   999 = Not Available
201802 and later:
   1% - 998%
   999 = Not Available    
HARP ranges:
   1% - 998%
   999 = Not Available"
10,dti,Original Debt-to-Income (DTI) Ratio,Numeric,"ORIGINAL DEBT-TO-INCOME (DTI) RATIO - Disclosure of the debt to income ratio is based on (1) the sum of the borrower's monthly debt payments, including monthly housing expenses that incorporate the mortgage payment the borrower is making at the time of the delivery of the mortgage loan to Freddie Mac, divided by (2) the total monthly income used to underwrite the loan as of the date of the origination of the such loan.
Ratios greater than 65% are indicated that data is Not Available.  All loans in the HARP dataset will be disclosed as Not Available.
This disclosure is subject to the widely varying standards originators use to verify Borrowers' assets and liabilities and will not be updated.","0% DTI =65%
999 = Not Available
HARP ranges:
 999 = Not Available"
